Key,English(en),Japanese(ja),Thai(th)
0340.question,เรียงลำดับผลงานกำกับของ Christopher Nolan จากเก่าไปใหม่,เรียงลำดับผลงานกำกับของ Christopher Nolan จากเก่าไปใหม่,เรียงลำดับผลงานกำกับของ Christopher Nolan จากเก่าไปใหม่
0340.choice1,Batman Begins,Batman Begins,Batman Begins
0340.choice2,The Dark Knight,The Dark Knight,The Dark Knight
0340.choice3,The Dark Knight Rises,The Dark Knight Rises,The Dark Knight Rises
0341.question,เรียงลำดับภาพยนตร์ Star Wars ภาคหลัก ตามปีที่เข้าฉายจากเก่าไปใหม่,เรียงลำดับภาพยนตร์ Star Wars ภาคหลัก ตามปีที่เข้าฉายจากเก่าไปใหม่,เรียงลำดับภาพยนตร์ Star Wars ภาคหลัก ตามปีที่เข้าฉายจากเก่าไปใหม่
0341.choice1,A New Hope,A New Hope,A New Hope
0341.choice2,The Empire Strikes Back,The Empire Strikes Back,The Empire Strikes Back
0341.choice3,Return of the Jedi,Return of the Jedi,Return of the Jedi
0342.question,เรียงลำดับวงบอยแบนด์ตามปีที่ก่อตั้งวงจากเก่าไปใหม่,เรียงลำดับวงบอยแบนด์ตามปีที่ก่อตั้งวงจากเก่าไปใหม่,เรียงลำดับวงบอยแบนด์ตามปีที่ก่อตั้งวงจากเก่าไปใหม่
0342.choice1,The Jackson 3,The Jackson 4,The Jackson 5
0342.choice2,Backstreet Boys,Backstreet Boys,Backstreet Boys
0342.choice3,BTS,BTS,BTS
0343.question,เรียงลำดับผลงานกำกับของ Steven Spielberg จากเก่าไปใหม่,เรียงลำดับผลงานกำกับของ Steven Spielberg จากเก่าไปใหม่,เรียงลำดับผลงานกำกับของ Steven Spielberg จากเก่าไปใหม่
0343.choice1,Jaws,Jaws,Jaws
0343.choice2,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial
0343.choice3,Jurassic Park,Jurassic Park,Jurassic Park
0344.question,เรียงลำดับนักแสดงที่รับบทเป็น James Bond จากเก่าไปใหม่,เรียงลำดับนักแสดงที่รับบทเป็น James Bond จากเก่าไปใหม่,เรียงลำดับนักแสดงที่รับบทเป็น James Bond จากเก่าไปใหม่
0344.choice1,Sean Connery,Sean Connery,Sean Connery
0344.choice2,Roger Moore,Roger Moore,Roger Moore
0344.choice3,Daniel Craig,Daniel Craig,Daniel Craig
0345.question,เรียงลำดับวงดนตรีร็อกตามปีที่ก่อตั้งวงจากเก่าไปใหม่,เรียงลำดับวงดนตรีร็อกตามปีที่ก่อตั้งวงจากเก่าไปใหม่,เรียงลำดับวงดนตรีร็อกตามปีที่ก่อตั้งวงจากเก่าไปใหม่
0345.choice1,The Beatles,The Beatles,The Beatles
0345.choice2,The Rolling Stones,The Rolling Stones,The Rolling Stones
0345.choice3,Queen,Queen,Queen
0346.question,ภาพยนตร์เรื่อง Titanic ออกฉายครั้งแรกปีอะไร,ภาพยนตร์เรื่อง Titanic ออกฉายครั้งแรกปีอะไร,ภาพยนตร์เรื่อง Titanic ออกฉายครั้งแรกปีอะไร
0347.question,Netflix เริ่มให้บริการ Online Streaming ในปีใด,Netflix เริ่มให้บริการ Online Streaming ในปีใด,Netflix เริ่มให้บริการ Online Streaming ในปีใด
0348.question,The Beatles อัลบัมแรก Please Please Me วางจำหน่ายในปีอะไร,The Beatles อัลบัมแรก Please Please Me วางจำหน่ายในปีอะไร,The Beatles อัลบัมแรก Please Please Me วางจำหน่ายในปีอะไร
0349.question,ข้อใดไม่ใช่อาหารไทย,ข้อใดไม่ใช่อาหารไทย,ข้อใดไม่ใช่อาหารไทย
0349.choice1,นาซิโกเร็ง,นาซิโกเร็ง,นาซิโกเร็ง
0349.choice2,ผัดไทย,ผัดไทย,ผัดไทย
0349.choice3,ต้มยำกุ้ง,ต้มยำกุ้ง,ต้มยำกุ้ง
0349.choice4,ผัดกระเพรา,ผัดกระเพรา,ผัดกระเพรา
0350.question,สัตว์ประจำชาติของประเทศไทยคืออะไร,สัตว์ประจำชาติของประเทศไทยคืออะไร,สัตว์ประจำชาติของประเทศไทยคืออะไร
0350.choice1,ช้าง,ช้าง,ช้าง
0350.choice2,แมว,แมว,แมว
0350.choice3,งู,งู,งู
0350.choice4,เสือ,เสือ,เสือ
0351.question,ศาสนาที่มีคนนับถือเยอะที่สุดในประเทศไทยคือศาสนาใด,ศาสนาที่มีคนนับถือเยอะที่สุดในประเทศไทยคือศาสนาใด,ศาสนาที่มีคนนับถือเยอะที่สุดในประเทศไทยคือศาสนาใด
0351.choice1,พุทธ,พุทธ,พุทธ
0351.choice2,คริสต์,คริสต์,คริสต์
0351.choice3,อิสลาม,อิสลาม,อิสลาม
0351.choice4,ซิกข์,ซิกข์,ซิกข์
0352.question,เทศกาลสาดน้ำในประเทศไทยมีชื่อว่าอะไร,เทศกาลสาดน้ำในประเทศไทยมีชื่อว่าอะไร,เทศกาลสาดน้ำในประเทศไทยมีชื่อว่าอะไร
0352.choice1,สงกรานต์,สงกรานต์,สงกรานต์
0352.choice2,ลอยกระทง,ลอยกระทง,ลอยกระทง
0352.choice3,วิสาขบูชา,วิสาขบูชา,วิสาขบูชา
0352.choice4,คริสต์มาส,คริสต์มาส,คริสต์มาส
0353.question,ศิลปะการต่อสู้ใดมีต้นกำเนิดจากประเทศไทย,ศิลปะการต่อสู้ใดมีต้นกำเนิดจากประเทศไทย,ศิลปะการต่อสู้ใดมีต้นกำเนิดจากประเทศไทย
0353.choice1,มวยไทย,มวยไทย,มวยไทย
0353.choice2,ยูโด,ยูโด,ยูโด
0353.choice3,เทควันโด,เทควันโด,เทควันโด
0353.choice4,คาราเต้,คาราเต้,คาราเต้
0354.question,ยานพาหนะ 3 ล้อในประเทศไทยมีชื่อเรียกว่าอะไร,ยานพาหนะ 3 ล้อในประเทศไทยมีชื่อเรียกว่าอะไร,ยานพาหนะ 3 ล้อในประเทศไทยมีชื่อเรียกว่าอะไร
0354.choice1,Tuk-Tuk,Tuk-Tuk,Tuk-Tuk
0354.choice2,Tuk-Tik,Tuk-Tik,Tuk-Tik
0354.choice3,Tik-Tok,Tik-Tok,Tik-Tok
0354.choice4,Tok-Tok,Tok-Tok,Tok-Tok
0355.question,จังหวัดใดของประเทศไทยที่เป็นเกาะ,จังหวัดใดของประเทศไทยที่เป็นเกาะ,จังหวัดใดของประเทศไทยที่เป็นเกาะ
0355.choice1,ภูเก็ต,ภูเก็ต,ภูเก็ต
0355.choice2,กรุงเทพ,กรุงเทพ,กรุงเทพ
0355.choice3,เชียงใหม่,เชียงใหม่,เชียงใหม่
0355.choice4,กระบี่,กระบี่,กระบี่
0356.question,สมาชิกวง Blackpink คนใดเป็นคนไทย,สมาชิกวง Blackpink คนใดเป็นคนไทย,สมาชิกวง Blackpink คนใดเป็นคนไทย
0356.choice1,Lisa,Lisa,Lisa
0356.choice2,Rose,Rose,Rose
0356.choice3,Jennie,Jennie,Jennie
0356.choice4,Jisoo,Jisoo,Jisoo
0357.question,ปัจจุบันไทยอยู่ในรัชสมัยใด,ปัจจุบันไทยอยู่ในรัชสมัยใด,ปัจจุบันไทยอยู่ในรัชสมัยใด
0357.choice1,รัชกาลที่ 10,รัชกาลที่ 10,รัชกาลที่ 10
0357.choice2,รัชกาลที่ 8,รัชกาลที่ 8,รัชกาลที่ 8
0357.choice3,รัชกาลที่ 9,รัชกาลที่ 9,รัชกาลที่ 9
0357.choice4,รัชกาลที่ 11,รัชกาลที่ 11,รัชกาลที่ 11
0358.question,ประเทศใดอยู่ติดทิศใต้ของประเทศไทย,ประเทศใดอยู่ติดทิศใต้ของประเทศไทย,ประเทศใดอยู่ติดทิศใต้ของประเทศไทย
0358.choice1,มาเลเซีย,มาเลเซีย,มาเลเซีย
0358.choice2,เวียดนาม,เวียดนาม,เวียดนาม
0358.choice3,เมียนมา,เมียนมา,เมียนมา
0358.choice4,บังกลาเทศ,บังกลาเทศ,บังกลาเทศ
0359.question,ประเทศใดไม่มีพื้นที่ติดกับประเทศไทย,ประเทศใดไม่มีพื้นที่ติดกับประเทศไทย,ประเทศใดไม่มีพื้นที่ติดกับประเทศไทย
0359.choice1,เวียดนาม,เวียดนาม,เวียดนาม
0359.choice2,มาเลเซีย,มาเลเซีย,มาเลเซีย
0359.choice3,เมียนมา,เมียนมา,เมียนมา
0359.choice4,ลาว,ลาว,ลาว
0360.question,ข้อใดคือจังหวัดในประเทศไทย,ข้อใดคือจังหวัดในประเทศไทย,ข้อใดคือจังหวัดในประเทศไทย
0360.choice1,เชียงราย,เชียงราย,เชียงราย
0360.choice2,หลวงพระบาง,หลวงพระบาง,หลวงพระบาง
0360.choice3,ย่างกุ้ง,ย่างกุ้ง,ย่างกุ้ง
0360.choice4,กัวลาลัมเปอร์,กัวลาลัมเปอร์,กัวลาลัมเปอร์
0361.question,เมืองใดไม่ได้อยู่ในประเทศไทย,เมืองใดไม่ได้อยู่ในประเทศไทย,เมืองใดไม่ได้อยู่ในประเทศไทย
0361.choice1,หลวงพระบาง,หลวงพระบาง,หลวงพระบาง
0361.choice2,เชียงใหม่,เชียงใหม่,เชียงใหม่
0361.choice3,ภูเก็ต,ภูเก็ต,ภูเก็ต
0361.choice4,นนทบุรี,นนทบุรี,นนทบุรี
0362.question,Lisa วง Blackpink เป็นชาวอะไร,Lisa วง Blackpink เป็นชาวอะไร,Lisa วง Blackpink เป็นชาวอะไร
0362.choice1,ไทย,ไทย,ไทย
0362.choice2,เกาหลี,เกาหลี,เกาหลี
0362.choice3,จีน,จีน,จีน
0362.choice4,ญี่ปุ่น,ญี่ปุ่น,ญี่ปุ่น
0363.question,ใครคือนักแสดงนำเรื่ององค์บาก,ใครคือนักแสดงนำเรื่ององค์บาก,ใครคือนักแสดงนำเรื่ององค์บาก
0363.choice1,Tony Jaa,Tony Jaa,Tony Jaa
0363.choice2,Tony Joe,Tony Joe,Tony Joe
0363.choice3,Tony John,Tony John,Tony John
0363.choice4,Tony Jack,Tony Jack,Tony Jack
0364.question,ประเทศไทยเคยตกเป็นอาณานิคมของชาติใด,ประเทศไทยเคยตกเป็นอาณานิคมของชาติใด,ประเทศไทยเคยตกเป็นอาณานิคมของชาติใด
0364.choice1,ไม่เคย,ไม่เคย,ไม่เคย
0364.choice2,อังกฤษ,อังกฤษ,อังกฤษ
0364.choice3,ฝรั่งเศส,ฝรั่งเศส,ฝรั่งเศส
0364.choice4,ญี่ปุ่น,ญี่ปุ่น,ญี่ปุ่น
0365.question,ในสงครามโลกครั้งที่ 2 ประเทศไทยได้เข้าร่วมกับฝ่ายใด,ในสงครามโลกครั้งที่ 2 ประเทศไทยได้เข้าร่วมกับฝ่ายใด,ในสงครามโลกครั้งที่ 2 ประเทศไทยได้เข้าร่วมกับฝ่ายใด
0365.choice1,ฝ่ายอักษะ,ฝ่ายอักษะ,ฝ่ายอักษะ
0365.choice2,ฝ่ายสัมพันธมิตร,ฝ่ายสัมพันธมิตร,ฝ่ายสัมพันธมิตร
0365.choice3,ฝ่ายคอมมิวนิสต์,ฝ่ายคอมมิวนิสต์,ฝ่ายคอมมิวนิสต์
0365.choice4,ฝ่ายเป็นกลาง,ฝ่ายเป็นกลาง,ฝ่ายเป็นกลาง
0366.question,"สยามได้เปลี่ยนชื่อเป็น ""ประเทศไทย"" อย่างเป็นทางการในปี ค.ศ.ใด","สยามได้เปลี่ยนชื่อเป็น ""ประเทศไทย"" อย่างเป็นทางการในปี ค.ศ.ใด","สยามได้เปลี่ยนชื่อเป็น ""ประเทศไทย"" อย่างเป็นทางการในปี ค.ศ.ใด"
0367.question,ดอกไม้ประจำชาติของประเทศไทยคือดอกอะไร,ดอกไม้ประจำชาติของประเทศไทยคือดอกอะไร,ดอกไม้ประจำชาติของประเทศไทยคือดอกอะไร
0367.choice1,ดอกราชพฤกษ์,ดอกราชพฤกษ์,ดอกราชพฤกษ์
0367.choice2,ดอกบัว,ดอกบัว,ดอกบัว
0367.choice3,ดอกกุหลาบ,ดอกกุหลาบ,ดอกกุหลาบ
0367.choice4,ดอกกล้วยไม้,ดอกกล้วยไม้,ดอกกล้วยไม้
0368.question,เมืองหลวงเก่าของประเทศไทยคือเมืองใด,เมืองหลวงเก่าของประเทศไทยคือเมืองใด,เมืองหลวงเก่าของประเทศไทยคือเมืองใด
0368.choice1,อยุธยา,อยุธยา,อยุธยา
0368.choice2,เชียงใหม่,เชียงใหม่,เชียงใหม่
0368.choice3,ภูเก็ต,ภูเก็ต,ภูเก็ต
0368.choice4,ลพบุรี,ลพบุรี,ลพบุรี
0369.question,ธงชาติไทยมี 4 สี,ธงชาติไทยมี 4 สี,ธงชาติไทยมี 4 สี
0370.question,ประเทศไทยมีหิมะตกในหน้าหนาว,ประเทศไทยมีหิมะตกในหน้าหนาว,ประเทศไทยมีหิมะตกในหน้าหนาว
0371.question,ประเทศไทยมีเมืองหลวงที่ชื่อยาวที่สุดในโลก,ประเทศไทยมีเมืองหลวงที่ชื่อยาวที่สุดในโลก,ประเทศไทยมีเมืองหลวงที่ชื่อยาวที่สุดในโลก
0372.question,พัทยาเป็นชื่อจังหวัดหนึ่งในประเทศไทย,พัทยาเป็นชื่อจังหวัดหนึ่งในประเทศไทย,พัทยาเป็นชื่อจังหวัดหนึ่งในประเทศไทย
0373.question,วันสงกราต์คือวันปีใหม่ของประเทศไทย,วันสงกราต์คือวันปีใหม่ของประเทศไทย,วันสงกราต์คือวันปีใหม่ของประเทศไทย
0374.question,จังหวัดกรุงเทพมีส่วนที่ติดทะเล,จังหวัดกรุงเทพมีส่วนที่ติดทะเล,จังหวัดกรุงเทพมีส่วนที่ติดทะเล
0375.question,ประเทศไทยมีทั้งหมดกี่จังหวัด,ประเทศไทยมีทั้งหมดกี่จังหวัด,ประเทศไทยมีทั้งหมดกี่จังหวัด
0376.question,ประเทศไทยมีพรมแดนติดกับประเทศเพื่อนบ้านกี่ประเทศ,ประเทศไทยมีพรมแดนติดกับประเทศเพื่อนบ้านกี่ประเทศ,ประเทศไทยมีพรมแดนติดกับประเทศเพื่อนบ้านกี่ประเทศ
0377.question,จังหวัดใดในญี่ปุ่นที่มีกวางจำนวนมากเดินอยู่ในสวน,จังหวัดใดในญี่ปุ่นที่มีกวางจำนวนมากเดินอยู่ในสวน,จังหวัดใดในญี่ปุ่นที่มีกวางจำนวนมากเดินอยู่ในสวน
0377.choice1,Nara,Nara,Nara
0377.choice2,Shiga,Shiga,Shiga
0377.choice3,Osaka,Osaka,Osaka
0377.choice4,Fukui,Fukui,Fukui
0378.question,จังหวัดใดอยู่เหนือสุดของประเทศญี่ปุ่น,จังหวัดใดอยู่เหนือสุดของประเทศญี่ปุ่น,จังหวัดใดอยู่เหนือสุดของประเทศญี่ปุ่น
0378.choice1,Hokkaido,Hokkaido,Hokkaido
0378.choice2,Aomori,Aomori,Aomori
0378.choice3,Iwate,Iwate,Iwate
0378.choice4,Akita,Akita,Akita
0379.question,อนุสาวรีย์ Hachiko ที่สถานี Shibuya เป็นสัตว์อะไร,อนุสาวรีย์ Hachiko ที่สถานี Shibuya เป็นสัตว์อะไร,อนุสาวรีย์ Hachiko ที่สถานี Shibuya เป็นสัตว์อะไร
0379.choice1,สุนัข,สุนัข,สุนัข
0379.choice2,แมว,แมว,แมว
0379.choice3,กวาง,กวาง,กวาง
0379.choice4,จิ้งจอก,จิ้งจอก,จิ้งจอก
0380.question,Kumamon เป็นมาสคอตของจังหวัดใดในญี่ปุ่น,Kumamon เป็นมาสคอตของจังหวัดใดในญี่ปุ่น,Kumamon เป็นมาสคอตของจังหวัดใดในญี่ปุ่น
0380.choice1,Kumamoto,Kumamoto,Kumamoto
0380.choice2,Fukuoka,Fukuoka,Fukuoka
0380.choice3,Miyazaki,Miyazaki,Miyazaki
0380.choice4,Nagasaki,Nagasaki,Nagasaki
0381.question,Shinkansen เป็นชื่อของยานพาหนะใด,Shinkansen เป็นชื่อของยานพาหนะใด,Shinkansen เป็นชื่อของยานพาหนะใด
0381.choice1,รถไฟ,รถไฟ,รถไฟ
0381.choice2,รถบัส,รถบัส,รถบัส
0381.choice3,แท็กซี่,แท็กซี่,แท็กซี่
0381.choice4,จักรยาน,จักรยาน,จักรยาน
0382.question,ดอกไม้ประจำชาติญี่ปุ่นคือดอกอะไร,ดอกไม้ประจำชาติญี่ปุ่นคือดอกอะไร,ดอกไม้ประจำชาติญี่ปุ่นคือดอกอะไร
0382.choice1,ดอกซากุระ,ดอกซากุระ,ดอกซากุระ
0382.choice2,ดอกบ๊วย,ดอกบ๊วย,ดอกบ๊วย
0382.choice3,ดอกเบญจมาศ,ดอกเบญจมาศ,ดอกเบญจมาศ
0382.choice4,ดอกลิลลี่,ดอกลิลลี่,ดอกลิลลี่
0383.question,ตระกูลโชกุนที่ปกครองญี่ปุ่นนานที่สุดคือตระกูลใด,ตระกูลโชกุนที่ปกครองญี่ปุ่นนานที่สุดคือตระกูลใด,ตระกูลโชกุนที่ปกครองญี่ปุ่นนานที่สุดคือตระกูลใด
0383.choice1,ตระกูล Tokugawa,ตระกูล Tokugawa,ตระกูล Tokugawa
0383.choice2,ตระกูล Minamoto,ตระกูล Minamoto,ตระกูล Minamoto
0383.choice3,ตระกูล Oda,ตระกูล Oda,ตระกูล Oda
0383.choice4,ตระกูล Hojo,ตระกูล Hojo,ตระกูล Hojo
0384.question,เมืองหลวงของญี่ปุ่นก่อนที่จะย้ายมาที่กรุง Tokyo คือเมืองใด,เมืองหลวงของญี่ปุ่นก่อนที่จะย้ายมาที่กรุง Tokyo คือเมืองใด,เมืองหลวงของญี่ปุ่นก่อนที่จะย้ายมาที่กรุง Tokyo คือเมืองใด
0384.choice1,Kyoto,Kyoto,Kyoto
0384.choice2,Osaka,Osaka,Osaka
0384.choice3,Nara,Nara,Nara
0384.choice4,Hiroshima,Hiroshima,Hiroshima
0385.question,Onigiri เป็นชื่อของอาหารปะไรในญี่ปุ่น,Onigiri เป็นชื่อของอาหารปะไรในญี่ปุ่น,Onigiri เป็นชื่อของอาหารปะไรในญี่ปุ่น
0385.choice1,ข้าวปั้น,ข้าวปั้น,ข้าวปั้น
0385.choice2,ซุป,ซุป,ซุป
0385.choice3,เนื้อย่าง,เนื้อย่าง,เนื้อย่าง
0385.choice4,ราเมง,ราเมง,ราเมง
0386.question,วัด Kiyomizu อยู่ในจังหวัดใดของญี่ปุ่น,วัด Kiyomizu อยู่ในจังหวัดใดของญี่ปุ่น,วัด Kiyomizu อยู่ในจังหวัดใดของญี่ปุ่น
0386.choice1,Kyoto,Kyoto,Kyoto
0386.choice2,Osaka,Osaka,Osaka
0386.choice3,Nara,Nara,Nara
0386.choice4,Tokyo,Tokyo,Tokyo
0387.question,ข้อใดเป็นชื่อจังหวัดของญี่ปุ่น (ไม่ใช่เมือง),ข้อใดเป็นชื่อจังหวัดของญี่ปุ่น (ไม่ใช่เมือง),ข้อใดเป็นชื่อจังหวัดของญี่ปุ่น (ไม่ใช่เมือง)
0387.choice1,Hiroshima,Hiroshima,Hiroshima
0387.choice2,Nagoya,Nagoya,Nagoya
0387.choice3,Kobe,Kobe,Kobe
0387.choice4,Yokohama,Yokohama,Yokohama
0388.question,เมือง Nagoya อยู่ในจังหวัดอะไร,เมือง Nagoya อยู่ในจังหวัดอะไร,เมือง Nagoya อยู่ในจังหวัดอะไร
0388.choice1,Aichi,Aichi,Aichi
0388.choice2,Gifu,Gifu,Gifu
0388.choice3,Shiga,Shiga,Shiga
0388.choice4,Mie,Mie,Mie
0389.question,ประเพณีใดในญี่ปุ่นที่ผู้คนจะโยนถั่วเพื่อขับไล่สิ่งชั่วร้าย,ประเพณีใดในญี่ปุ่นที่ผู้คนจะโยนถั่วเพื่อขับไล่สิ่งชั่วร้าย,ประเพณีใดในญี่ปุ่นที่ผู้คนจะโยนถั่วเพื่อขับไล่สิ่งชั่วร้าย
0389.choice1,Setsubun,Setsubun,Setsubun
0389.choice2,Obon,Obon,Obon
0389.choice3,Hanami,Hanami,Hanami
0389.choice4,Halloween,Halloween,Halloween
0390.question,ข้อใดไม่ใช่แบรนด์รถยนต์จากญี่ปุ่น,ข้อใดไม่ใช่แบรนด์รถยนต์จากญี่ปุ่น,ข้อใดไม่ใช่แบรนด์รถยนต์จากญี่ปุ่น
0390.choice1,Hyundai,Hyundai,Hyundai
0390.choice2,Toyota,Toyota,Toyota
0390.choice3,Nissan,Nissan,Nissan
0390.choice4,Honda,Honda,Honda
0391.question,ปราสาท Himeji มีสีอะไร,ปราสาท Himeji มีสีอะไร,ปราสาท Himeji มีสีอะไร
0391.choice1,ขาว,ขาว,ขาว
0391.choice2,ดำ,ดำ,ดำ
0391.choice3,เขียว,เขียว,เขียว
0391.choice4,แดง,แดง,แดง
0392.question,เมือง Kobe อยู่ในจังหวัดอะไร,เมือง Kobe อยู่ในจังหวัดอะไร,เมือง Kobe อยู่ในจังหวัดอะไร
0392.choice1,Hyogo,Hyogo,Hyogo
0392.choice2,Osaka,Osaka,Osaka
0392.choice3,Okayama,Okayama,Okayama
0392.choice4,Wakayama,Wakayama,Wakayama
0393.question,วันชาติของญี่ปุ่นตรงกับวันใด,วันชาติของญี่ปุ่นตรงกับวันใด,วันชาติของญี่ปุ่นตรงกับวันใด
0393.choice1,9 กุมภาพันธ์,10 กุมภาพันธ์,11 กุมภาพันธ์
0393.choice2,18 กรกฎาคม,19 กรกฎาคม,20 กรกฎาคม
0393.choice3,1 พฤษภาคม,2 พฤษภาคม,3 พฤษภาคม
0393.choice4,21 ธันวาคม,22 ธันวาคม,23 ธันวาคม
0394.question,ดอกไม้ประจำราชวงศ์ญี่ปุ่นคือดอกอะไร,ดอกไม้ประจำราชวงศ์ญี่ปุ่นคือดอกอะไร,ดอกไม้ประจำราชวงศ์ญี่ปุ่นคือดอกอะไร
0394.choice1,ดอกเบญจมาศ,ดอกเบญจมาศ,ดอกเบญจมาศ
0394.choice2,ดอกซากุระ,ดอกซากุระ,ดอกซากุระ
0394.choice3,ดอกบ๊วย,ดอกบ๊วย,ดอกบ๊วย
0394.choice4,ดอกลิลลี่,ดอกลิลลี่,ดอกลิลลี่
0395.question,ในยุคเฮอันเมืองหลวงญี่ปุ่นตั้งอยู่ที่ไหน,ในยุคเฮอันเมืองหลวงญี่ปุ่นตั้งอยู่ที่ไหน,ในยุคเฮอันเมืองหลวงญี่ปุ่นตั้งอยู่ที่ไหน
0395.choice1,Kyoto,Kyoto,Kyoto
0395.choice2,Osaka,Osaka,Osaka
0395.choice3,Nara,Nara,Nara
0395.choice4,Tokyo,Tokyo,Tokyo
0396.question,ใครคือผู้สร้างปราสาทโอซาก้า,ใครคือผู้สร้างปราสาทโอซาก้า,ใครคือผู้สร้างปราสาทโอซาก้า
0396.choice1,Toyotomi Hideyoshi,Toyotomi Hideyoshi,Toyotomi Hideyoshi
0396.choice2,Oda Nobunaga,Oda Nobunaga,Oda Nobunaga
0396.choice3,Tokugawa Ieyasu,Tokugawa Ieyasu,Tokugawa Ieyasu
0396.choice4,Date Masamune,Date Masamune,Date Masamune
0397.question,ธงชาติญี่ปุ่นมี 2 สี,ธงชาติญี่ปุ่นมี 2 สี,ธงชาติญี่ปุ่นมี 2 สี
0398.question,ในภาษาญี่ปุ่น Neko หมายถึงแมว,ในภาษาญี่ปุ่น Neko หมายถึงแมว,ในภาษาญี่ปุ่น Neko หมายถึงแมว
0399.question,ซามูไรได้หมดลงในยุคเมจิ,ซามูไรได้หมดลงในยุคเมจิ,ซามูไรได้หมดลงในยุคเมจิ
0400.question,Tokyo Disneyland อยู่ในจังหวัด Tokyo,Tokyo Disneyland อยู่ในจังหวัด Tokyo,Tokyo Disneyland อยู่ในจังหวัด Tokyo
0401.question,จังหวัด Tokushima ของญี่ปุ่นตั้งอยู่บนเกาะ Kyushu,จังหวัด Tokushima ของญี่ปุ่นตั้งอยู่บนเกาะ Kyushu,จังหวัด Tokushima ของญี่ปุ่นตั้งอยู่บนเกาะ Kyushu
0402.question,ธงชาติญี่ปุ่นมีชื่อเรียกว่า Hinomaru,ธงชาติญี่ปุ่นมีชื่อเรียกว่า Hinomaru,ธงชาติญี่ปุ่นมีชื่อเรียกว่า Hinomaru
0403.question,ประเทศญี่ปุ่นมีกี่จังหวัด,ประเทศญี่ปุ่นมีกี่จังหวัด,ประเทศญี่ปุ่นมีกี่จังหวัด
0404.question,งาน Osaka Expo ครั้งแรก จัดขึ้นในปีใด,งาน Osaka Expo ครั้งแรก จัดขึ้นในปีใด,งาน Osaka Expo ครั้งแรก จัดขึ้นในปีใด
0405.question,เมืองหลวงของสหรัฐอเมริกาคือเมืองใด,เมืองหลวงของสหรัฐอเมริกาคือเมืองใด,เมืองหลวงของสหรัฐอเมริกาคือเมืองใด
0405.choice1,New York,New York,New York
0405.choice2,Los Angeles,Los Angeles,Los Angeles
0405.choice3,Chicago,Chicago,Chicago
0405.choice4,"Washington, D.C.","Washington, D.C.","Washington, D.C."
0406.question,อนุสาวรีย์เทพีเสรีภาพตั้งอยู่ที่เมืองใด,อนุสาวรีย์เทพีเสรีภาพตั้งอยู่ที่เมืองใด,อนุสาวรีย์เทพีเสรีภาพตั้งอยู่ที่เมืองใด
0406.choice1,New York,New York,New York
0406.choice2,Boston,Boston,Boston
0406.choice3,Philadelphia,Philadelphia,Philadelphia
0406.choice4,"Washington, D.C.","Washington, D.C.","Washington, D.C."
0407.question,หน่วยงานใดของสหรัฐอเมริกาที่รับผิดชอบโครงการเกี่ยวกับอวกาศ,หน่วยงานใดของสหรัฐอเมริกาที่รับผิดชอบโครงการเกี่ยวกับอวกาศ,หน่วยงานใดของสหรัฐอเมริกาที่รับผิดชอบโครงการเกี่ยวกับอวกาศ
0407.choice1,NASA,NASA,NASA
0407.choice2,NATO,NATO,NATO
0407.choice3,SAS,SAS,SAS
0407.choice4,SHIELD,SHIELD,SHIELD
0408.question,ใครเป็นนักบินอวกาศคนแรกที่เหยียบดวงจันทร์,ใครเป็นนักบินอวกาศคนแรกที่เหยียบดวงจันทร์,ใครเป็นนักบินอวกาศคนแรกที่เหยียบดวงจันทร์
0408.choice1,Neil Armstrong,Neil Armstrong,Neil Armstrong
0408.choice2,John Glenn,John Glenn,John Glenn
0408.choice3,Yuri Gagarin,Yuri Gagarin,Yuri Gagarin
0408.choice4,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin
0409.question,สถานที่ใดไม่ได้อยู่ในสหรัฐอเมริกา,สถานที่ใดไม่ได้อยู่ในสหรัฐอเมริกา,สถานที่ใดไม่ได้อยู่ในสหรัฐอเมริกา
0409.choice1,Stonehenge,Stonehenge,Stonehenge
0409.choice2,Grand Canyon,Grand Canyon,Grand Canyon
0409.choice3,Niagara Falls,Niagara Falls,Niagara Falls
0409.choice4,Yellowstone,Yellowstone,Yellowstone
0410.question,อาคาร The Pentagon ในสหรัฐอเมริกามีรูปทรงกี่เหลี่ยม,อาคาร The Pentagon ในสหรัฐอเมริกามีรูปทรงกี่เหลี่ยม,อาคาร The Pentagon ในสหรัฐอเมริกามีรูปทรงกี่เหลี่ยม
0411.question,เทือกเขาที่ยาวที่สุดในสหรัฐอเมริกาคือเทือกเขาอะไร,เทือกเขาที่ยาวที่สุดในสหรัฐอเมริกาคือเทือกเขาอะไร,เทือกเขาที่ยาวที่สุดในสหรัฐอเมริกาคือเทือกเขาอะไร
0411.choice1,Rocky,Rocky,Rocky
0411.choice2,Sierra Nevada,Sierra Nevada,Sierra Nevada
0411.choice3,Appalachian,Appalachian,Appalachian
0411.choice4,Ozark,Ozark,Ozark
0412.question,แม่น้ำใดที่ยาวที่สุดในสหรัฐอเมริกา,แม่น้ำใดที่ยาวที่สุดในสหรัฐอเมริกา,แม่น้ำใดที่ยาวที่สุดในสหรัฐอเมริกา
0412.choice1,Mississippi,Mississippi,Mississippi
