NO,QUESTION,CHOICE 1,CHOICE 2,CHOICE 3,CHOICE 4,TYPE,LEVEL,CATEGORY 1,CATEGORY 2,LOCATION
0660,สหภาพโซเวียตล่มสลายในปีใด,1991,,,,Number Guessing,3,History,none,#none
0661,โทรศัพท์เครื่องแรกเกิดขึ้นในปีใด,1876,,,,Number Guessing,3,History,none,#none
0662,Christopher Columbus ค้นพบทวีปอเมริกาในปีใด,1492,,,,Number Guessing,3,History,none,#New York
0663,กำแพง Berlin ถูกทำลายลงในปีใด,1989,,,,Number Guessing,3,History,none,#none
0664,สงครามร้อยปีจะหว่างอังกฤษกับฝรั่งเศสกินเวลาทั้งหมดกี่ปี,116,,,,Number Guessing,3,History,none,#Paris
0665,โรงไฟฟ้านิวเคลียร์เชอร์โนบิลระเบิดในปีอะไร,1986,,,,Number Guessing,3,History,none,#none
0666,Studio Ghibli ก่อตั้งขึ้นในปีอะไร,1985,,,,Number Guessing,3,Pop Culture,Entertainment,#none
0667,จำนวนผู้เล่นสูงสุดที่สามารถเล่นพร้อมกันในเกม PUBG คือกี่คน,100,,,,Number Guessing,3,Pop Culture,none,#none
0668,เกม Stardew Valley ออกวางจำหน่ายในปีใด,2016,,,,Number Guessing,3,Pop Culture,none,#none
0669,เครื่อง PlayStation 1 มียอดขายทั่วโลกกี่ล้านเครื่อง,102,,,,Number Guessing,3,Pop Culture,none,#none
0670,เกม Elden Ring วางจำหน่ายในปีอะไร,2022,,,,Number Guessing,3,Pop Culture,none,#none
0671,รางวัลออสการ์ครั้งแรกจัดขึ้นเมื่อปีใด,1929,,,,Number Guessing,3,Entertainment,none,#none
0672,วง The Beatles มีทั้งหมดกี่อัลบั้ม,13,,,,Number Guessing,3,Entertainment,none,#none
0673,ภาพยนตร์ซีรีส์ Harry Potter มีทั้งหมดกี่ภาค,8,,,,Number Guessing,3,Entertainment,none,#none
0674,ภาพยนตร์ Forrest Gump ออกฉายในปีใด,1994,,,,Number Guessing,3,Entertainment,none,#none
0675,วง Oasis แยกวงในปีอะไร,2009,,,,Number Guessing,3,Entertainment,none,#none
0676,Lionel Messi ได้รางวัล Ballon d'Or ทั้งหมดกี่ครั้ง,8,,,,Number Guessing,3,sports,none,#none
0677,ฟุตบอลลีกสูงสุดของอังกฤษเปลี่ยนชื่อเป็น Premier League ในปีใด,1992,,,,Number Guessing,3,sports,none,#London
0678,Usain Bolt เคยได้รับเหรียญทองในโอลิมปิกทั้งหมดมีกี่เหรียญ,8,,,,Number Guessing,3,sports,none,#none
0679,จำนวนผู้เล่นในสนามของกีฬาอเมริกันฟุตบอลมีกี่คน,11,,,,Number Guessing,3,sports,none,#New York
0680,จำนวนผู้เล่นในสนามของกีฬาแฮนด์บอลมีกี่คน,7,,,,Number Guessing,3,sports,none,#none
0681,มีดาวเคราะห์ในระบบสุริยะจักรวาลกี่ดวง,8,,,,Number Guessing,3,Science,none,#none
0682,โทรศัพท์เครื่องแรกเกิดขึ้นในปีใด,1876,,,,Number Guessing,3,Science,History,#none
0683,จำนวนวันใน 1 ปีของดาวพุธมีกี่วัน,88,,,,Number Guessing,3,Science,none,#none
0684,จำนวนธาตุทั้งหมดในตารางธาตุมีกี่ธาตุ,118,,,,Number Guessing,3,Science,none,#none
0685,จำนวนโครโมโซมในเซลล์มนุษย์ปกติมีกี่คู่,23,,,,Number Guessing,3,Science,none,#none
0686,ชื่อเต็มของเมืองกรุงเทพมีความยาวกี่ตัวอักษร,169,,,,Number Guessing,3,General,none,#Bangkok
0687,วัดพระแก้วสร้างขึ้นเมื่อปี ค.ศ.ใด,1782,,,,Number Guessing,3,History,none,#Bangkok
0688,ช่วงสมัยอยุธยาของไทยกินเวลากี่ปี,417,,,,Number Guessing,3,History,none,#Bangkok
0689,Tokyo Tower มีความสูงกี่เมตร,333,,,,Number Guessing,3,Geography,none,#Tokyo
0690,ญี่ปุ่นยังเหลือปราสาทดั้งเดิมอยู่ทั้งหมดกี่แห่ง,12,,,,Number Guessing,3,Geography,History,#Tokyo
0691,กลอน Haikuของญี่ปุ่นมีทั้งหมดกี่พยางค์,17,,,,Number Guessing,3,General,none,#Tokyo
0692,เทพีเสรีภาพมีความสูงทั้งหมดกี่เมตร,93,,,,Number Guessing,3,Geography,none,#New York
0693,Barack Obama เป็นประธานาธิบดีสหรัฐอเมริกาคนที่เท่าไหร่,44,,,,Number Guessing,3,History,none,#New York
0694,NASA ส่งมนุษย์คนแรกไปเหยียบดวงจันทร์สำเร็จเมื่อปีใด,1969,,,,Number Guessing,3,History,Science,#New York
0695,หอ Eiffel สร้างเสร็จเมื่อปีใด,1889,,,,Number Guessing,3,Geography,History,#Paris
0696,วิหาร Notre-Dame ใช้ระยะเวลาในการสร้างกี่ปี,182,,,,Number Guessing,3,Geography,History,#Paris
0697,ความสูงของประตูชัยฝรั่งเศส Arc de Triomphe มีกี่เมตร,50,,,,Number Guessing,3,Geography,none,#Paris
0698,หอนาฬิกา Big Ben มีความสูงกี่เมตร,96,,,,Number Guessing,3,Geography,none,#London
0699,จำนวนห้องในพระราชวัง Buckingham มีทั้งหมดกี่ห้อง,775,,,,Number Guessing,3,Geography,none,#London
0700,สงครามดอกกุหลาบในอังกฤษกินเวลาทั้งหมดกี่ปี,32,,,,Number Guessing,3,History,none,#London
0701,Great Sphinx of Giza มีความยาวกี่เมตร,73,,,,Number Guessing,3,Geography,none,#Cairo
0702,คลอง Suez ในอียิปต์มีความยาวกี่กิโลเมตร,193,,,,Number Guessing,3,Geography,none,#Cairo
0703,ฟาโรห์ Tutankhamun ขึ้นครองราชย์เป็นระยะเวลากี่ปี,9,,,,Number Guessing,3,History,none,#Cairo
0704,ปฏิกิริยาการเกิดสนิมเหล็กเป็นปฏิกิริยาประเภทใด,Oxidation,Synthesis,Replacement,Endothermic,4 Choice,2,Science,none,#none
0705,จุลินทรีย์ชนิดใดที่นิยมใช้ในการหมักเพื่อทำเบียร์หรือไวน์,ยีสต์,รา,ไวรัส,แบคทีเรีย,4 Choice,2,Science,none,#none
0706,สัตว์ชนิดใดสามารถสร้างเสียงได้ดังที่สุดในโลก,วาฬสีน้ำเงิน,ช้าง,สิงโต,นกกระจอกเทศ,4 Choice,2,Science,none,#none
0707,สัตว์ชนิดใดที่สามารถจำศีลได้นานที่สุด,หอยทาก,หมี,ค้างคาว,กบ,4 Choice,2,Science,none,#none
0708,ปลามีหัวใจกี่ห้อง,2,1,3,4,4 Choice,2,Science,none,#none
0709,สัตว์ชนิดใดมีหัวใจสามห้อง,กบ,ฉลาม,ปลาหมึก,จระเข้,4 Choice,2,Science,none,#none
0710,สัตว์ชนิดใดมีหัวใจ 3 ดวง,หมึกยักษ์,กบ,งู,วาฬ,4 Choice,2,Science,none,#none
0711,สัตว์ชนิดใดไม่มีหัวใจ,แมงกะพรุน,ปู,ไส้เดือน,แมลงวัน,4 Choice,2,Science,none,#none
0712,สัตว์ชนิดใดหัวใจเต้นเร็วที่สุด,หนูผีเอทรูสกัน,นกฮัมมิงเบิร์ด,หนู,กระต่าย,4 Choice,2,Science,none,#none
0713,นกชนิดใดที่สามารถบินถอยหลังได้,นกฮัมมิงเบิร์ด,นกกระจอก,นกอินทรี,นกคีรีบูน,4 Choice,1,Science,none,#none
0714,แสงอาทิตย์ใช้เวลาเดินทางมายังโลกประมาณกี่นาที,8,1,3,15,4 Choice,2,Science,none,#none
0715,ดวงจันทร์ใช้เวลาโคจรรอบโลกประมาณกี่วัน,28,1,7,365,4 Choice,1,Science,General,#none
0716,เกล็ดหิมะมีลักษณะทางโครงสร้างเป็นรูปทรงใดเสมอ,หกเหลี่ยม,สี่เหลี่ยม,สามเหลี่ยม,ห้าเหลี่ยม,4 Choice,1,Science,none,#none
0717,เมฆชนิดใดที่มีลักษณะเป็นก้อนขาวปุกปุย คล้ายก้อนสำลี,Cumulus,Cirrus,Stratus,Nimbus,4 Choice,2,Science,none,#none
0718,เมฆชนิดใดที่เกี่ยวข้องกับพายุฝนฟ้าคะนองรุนแรง,Cumulonimbus,Cirrus,Stratus,Altostratus,4 Choice,2,Science,none,#none
0719,เมฆชนิดใดที่มีลักษณะเป็นเส้นยาวบาง คล้ายขนนก,Cirrus,Cumulus,Stratus,Cumulonimbus,4 Choice,2,Science,none,#none
0720,ลูกเห็บเกิดขึ้นในเมฆชนิดใด,Cumulonimbus,Cirrus,Stratus,Altostratus,4 Choice,2,Science,none,#none
0721,ฟ้าแลบเกิดจากประจุไฟฟ้าชนิดใดที่วิ่งจากเมฆสู่พื้นดิน,ประจุลบ,ประจุบวก,เป็นกลาง,ทั้งประจุบวกและลบ,4 Choice,2,Science,none,#none
0722,ปรากฏการณ์ใดที่ทำให้อุณหภูมิผิวน้ำในมหาสมุทรแปซิฟิกอุ่นขึ้น,El Nino,La Nina,Ozone Hole,Global Warming,4 Choice,2,Science,none,#none
0723,ทอร์นาโดเกิดขึ้นมากที่สุดในประเทศใด,สหรัฐอเมริกา,อังกฤษ,ออสเตรเลีย,ญี่ปุ่น,4 Choice,2,Science,Geography,#New York
0724,เครื่องมือที่ใช้วัดความเร็วลมเรียกว่าอะไร,Anemometer,Barometer,Hygrometer,Thermometer,4 Choice,2,Science,none,#none
0725,ใครคือผู้ประดิษฐ์หลอดไฟที่ใช้งานได้ในเชิงพาณิชย์เป็นคนแรกของโลก,Thomas Edison,James Watt,Joseph Swan,Nikola Tesla,4 Choice,2,Science,History,#none
0726,ใครคือผู้ประดิษฐ์โทรศัพท์คนแรกของโลก,Alexander Graham Bell,Thomas Edison,Joseph Swan,Antonio Meucci,4 Choice,2,Science,History,#none
0727,ใครคือผู้ประดิษฐ์รถยนต์เป็นคนแรกของโลก,Karl Benz,Wilhelm Maybach,Henry Ford,Rudolf Diesel,4 Choice,3,Science,History,#none
0728,ใครคือผู้ประดิษฐ์เครื่องบินลำแรกของโลกที่ขึ้นบินได้สำเร็จ,Wright brothers,Glenn Curtiss,Louis Blériot,Samuel P. Langley,4 Choice,2,Science,History,#none
0729,ใครคือผู้คิดค้นวัคซีนโรคพิษสุนัขบ้า,Louis Pasteur,Edward Jenner,Joseph Lister,Alexander Fleming,4 Choice,3,Science,History,#none
0730,ใครคือผู้ค้นพบยาปฏิชีวนะชนิดแรกของโลก,Alexander Fleming,Edward Jenner,Louis Pasteur,Robert Koch,4 Choice,3,Science,History,#none
0731,ใครคือผู้ประดิษฐ์ตู้เย็นเครื่องแรกที่ใช้งานได้จริง,Jacob Perkins,Anders Sotius,Calvin W. Wirtley,Oliver Evans,4 Choice,3,Science,History,#none
0732,ใครคือผู้คิดค้นระบบ World Wide Web,Tim Berners-Lee,Brendan Eich,Mark Zuckerberg,Vint Cerf,4 Choice,3,History,Science,#none
0733,เมืองใดเป็นจุดกำเนิดของ Renaissance,Florence,Venice,Rome,Paris,4 Choice,3,History,none,#none
0734,เมืองใดเป็นแหล่งกำเนิดของกาแฟ,Kaffa,Rio de Janeiro,Cologne,Milan,4 Choice,2,History,none,#none
0735,โกโก้ถูกค้นพบครั้งแรกที่ไหน,Mesoamerica,Mesopotamia,West Africa,Andes,4 Choice,3,History,none,#none
0736,โดนัทมีต้นกำเนิดจากชนชาติใด,Dutch,German,American,French,4 Choice,2,History,Geography,#none
0737,เมือง Pompeii ถูกทำลายในปีใด,79,57,125,228,4 Choice,3,History,none,#none
0738,ภัยพิบัตินิวเคลียร์ที่ Chernobyl เกิดขึ้นในประเทศใด,ยูเครน,รัสเซีย,เบลารุส,โปแลนด์,4 Choice,2,History,Geography,#none
0739,กาฬโรคระบาดครั้งใหญ่แพร่ระบาดในยุโรปช่วงศตวรรษใด,12,14,16,18,4 Choice,3,History,none,#none
0740,โรค AIDS เกิดขึ้นในช่วงปีใด,1980s,1970s,1990s,2000s,4 Choice,2,History,none,#none
0741,โรคระบาดไข้หวัดใหญ่สเปนแพร่ระบาดไปทั่วโลกในช่วงปีใด,1918–1920,1914–1916,1925–1927,1930–1932,4 Choice,3,History,none,#none
0742,อาณาจักร Inca มีต้นกำเนิดอยู่ในประเทศใด,เปรู,เม็กซิโก,ชิลี,บราซิล,4 Choice,3,History,none,#none
0743,ประเทศที่มีพื้นที่ใหญ่ที่สุดในโลกคือประเทศอะไร,รัสเซีย,แคนาดา,จีน,สหรัฐอเมริกา,4 Choice,1,Geography,none,#none
0744,ทวีปใดเป็นทวีปเดียวที่ไม่มีสัตว์เลื้อยคลาน,แอนตาร์กติกา,แอฟริกา,ออสเตรเลีย,อเมริกาใต้,4 Choice,1,General,none,#none
0745,แม่น้ำแยงซีเกียงอยู่ที่ประเทศใด,จีน,สหรัฐอเมริกา,อินเดีย,บราซิล,4 Choice,1,Geography,none,#none
0746,เมืองใดมีพื้นที่ขนาดใหญ่ที่สุดในโลก,Chongqing,Tokyo,Beijing,New York,4 Choice,1,Geography,none,#none
0747,เมืองหลวงใดตั้งอยู่ริมแม่น้ำ Han,Seoul,Tokyo,Hanoi,Pyongyang,4 Choice,2,Geography,none,#none
0748,เกาะใดในประเทศอินโดนีเซียที่มีประชากรมากที่สุด,Java,Sumatra,Sulawesi,Bali,4 Choice,2,Geography,none,#none
0749,Vienna เป็นเมืองหลวงของประเทศใด,ออสเตรีย,ฮังการี,สาธารณรัฐเช็ก,สวิตเซอร์แลนด์,4 Choice,2,Geography,none,#none
0750,New Delhi เป็นเมืองหลวงของประเทศใด,อินเดีย,ปากีสถาน,ศรีลังกา,บังกลาเทศ,4 Choice,2,Geography,none,#none
0751,Havana เป็นเมืองหลวงของประเทศใด,คิวบา,เปอร์โตริโก,สาธารณรัฐโดมินิกัน,จาเมกา,4 Choice,2,Geography,none,#none
0752,เมืองหลวงของประเทศไอซ์แลนด์คือเมืองใด,Reykjavik,Helsinki,Oslo,Copenhagen,4 Choice,2,Geography,none,#none
0753,เมืองหลวงของประเทศเวลส์คือเมืองใด,Cardiff,Edinburgh,Belfast,Manchester,4 Choice,2,Geography,none,#none
0754,Lilongwe เป็นเมืองหลวงของประเทศใด,มาลาวี,ซิมบับเว,แซมเบีย,บอตสวานา,4 Choice,3,Geography,none,#none
0755,ประเทศใดในเอเชียที่ไม่มีทางออกสู่ทะเล,ลาว,สิงคโปร์,เมียนมา,มาเลเซีย,4 Choice,2,Geography,none,#none
0756,ประเทศเติร์กเมนิสถานอยู่ติดประเทศใด,อุซเบกิสถาน,คีร์กีซสถาน,ปากีสถาน,ทาจิกิสถาน,4 Choice,3,Geography,none,#none
0757,ทะเล Caspian อยู่ติดประเทศใด,รัสเซีย,อัฟกานิสถาน,ปากีสถาน,ตุรกี,4 Choice,2,Geography,none,#none
0758,ทะเลเมดิเตอร์เรเนียนอยู่ติดประเทศใด,อียิปต์,เซอร์เบีย,โปรตุเกส,อิรัก,4 Choice,2,Geography,none,#none
0759,ทะเล Baltic อยู่ติดประเทศใด,ฟินแลนด์,ฝรั่งเศส,กรีซ,เบลเยียม,4 Choice,2,Geography,none,#none
0760,ทะเลดำอยู่ติดประเทศใด,โรมาเนีย,ซาอุดีอาระเบีย,นอร์เวย์,อิตาลี,4 Choice,2,Geography,none,#none
0761,จุดเหนือสุดในคาบสมุทรสแกนดิเนเวียอยู่ในประเทศใด,นอร์เวย์,ฟินแลนด์,สวีเดน,เดนมาร์ก,4 Choice,2,Geography,none,#none
0762,เมืองที่หนาวที่สุดของโลกอยู่ในประเทศใด,รัสเซีย,มองโกเลีย,สหรัฐอเมริกา,แคนาดา,4 Choice,2,Geography,none,#none
0763,เมืองที่หนาวที่สุดของโลกคือเมืองอะไร,Yakutsk,Norilsk,Yellowknife,Ulaanbaatar,4 Choice,3,Geography,none,#none
0764,ประเทศใดไม่มีเพนกวินอาศัยอยู่,ไอซ์แลนด์,นิวซีแลนด์,ออสเตรเลีย,ชิลี,4 Choice,3,Geography,none,#none
0765,ประเทศใดไม่มีทะเลทราย,นิวซีแลนด์,ออสเตรเลีย,ซาอุดีอาระเบีย,สหรัฐอเมริกา,4 Choice,2,Geography,none,#none
0766,ประเทศสหรัฐอเมริกามีพื้นที่ประมาณเท่าไร,9.8 ล้าน ตร.กม.,8 ล้าน ตร.กม.,11.5 ล้าน ตร.กม.,17.1 ล้าน ตร.กม.,4 Choice,3,Geography,none,#none
0767,รัสเซียมีการแบ่ง Time Zone กี่เขต,11,9,10,12,4 Choice,3,Geography,none,#none
0768,ประเทศใดมีเกาะมากที่สุด,สวีเดน,อินโดนีเซีย,ฟินแลนด์,นอร์เวย์,4 Choice,3,Geography,none,#none
0769,เมืองใต้สุดของโลกคือเมืองอะไร,Puerto Williams,Ushuaia,Punta Arenas,Port Stanley,4 Choice,3,Geography,none,#none
0770,เมืองหลวงที่อยู่เหนือสุดในโลกคือเมืองอะไร,Reykjavik,Helsinki,Oslo,Nuuk,4 Choice,3,Geography,none,#none
0771,ประเทศตองกาใช้สกุลเงินอะไร,Paʻanga,Tongan Dollar,New Zealand Dollar,Franc,4 Choice,3,Geography,none,#none
0772,สัตว์ชนิดใดอยู่บนธงประจำรัฐแคลิฟอร์เนีย,หมีกริซลี,หมีดำ,หมาป่า,สิงโตภูเขา,4 Choice,3,Geography,none,#New York
0773,Louvre Museum ตั้งอยู่ในเมืองใด,Paris,London,Rome,New York,4 Choice,1,Geography,none,#Paris
0774,เฟรนช์ฟรายส์มีต้นกำเนิดจากประเทศใด,เบลเยียม,ฝรั่งเศส,สหรัฐอเมริกา,อังกฤษ,4 Choice,1,General,History,#none
0775,วันฮาโลวีนมีต้นกำเนิดที่ประเทศใด,ไอร์แลนด์,ฝรั่งเศส,เม็กซิโก,สวีเดน,4 Choice,2,General,History,#none
0776,"ที่มาของชื่อ ""ครัวซองต์"" มาจากรูปร่างที่คล้ายกับอะไร",ดวงจันทร์,เมฆ,วงกลม,ดาว,4 Choice,1,General,none,#none
0777,กะหล่ำปลีเป็นผักชนิดเดียวกับอะไร,บรอกโคลี,ผักกาดหอม,ผักโขม,มะเขือเทศ,4 Choice,2,General,none,#none
0778,ผลไม้ชนิดใดมีวิตามินซีมากที่สุด,ส้ม,กล้วย,องุ่น,แอปเปิล,4 Choice,1,General,none,#none
0779,Android เป็นระบบปฏิบัติการของบริษัทใด,Google,Apple,Microsoft,Samsung,4 Choice,1,General,none,#none
0780,เทคโนโลยี AI ย่อมาจากอะไร,Artificial Intelligence,Automated Intelligence,Applied Innovation,Algorithmic Information,4 Choice,1,General,none,#none
0781,เทคโนโลยี AR ย่อมาจากอะไร,Augmented Reality,Automated Reality,Artificial Reality,Advanced Reality,4 Choice,2,General,none,#none
0782,กล่องดำบนเครื่องบินมีสีอะไร,สีส้ม,สีดำ,สีเหลือง,สีแดง,4 Choice,2,General,none,#none
0783,อัญมณีชนิดใดที่แข็งที่สุดในโลก,เพชร,มรกต,ทับทิม,ไพลิน,4 Choice,1,General,none,#none
0784,สีใดที่เกิดจากการผสมสีแดงกับสีน้ำเงิน,สีม่วง,สีเขียว,สีส้ม,สีเหลือง,4 Choice,1,General,none,#none
0785,สุนัขพันธุ์ใดเล็กที่สุดในโลก,ชิวาวา,ปอมเมอเรเนียน,ปั๊ก,ยอร์กเชียร์ เทอร์เรีย,4 Choice,1,General,none,#none
0786,สุนัขมองเห็นสีอะไรได้ดีที่สุด,สีน้ำเงิน สีเหลือง,สีแดง สีเขียว,สีน้ำเงิน สีแดง,สีเขียว สีส้ม,4 Choice,3,General,Science,#none
0787,ผู้กำกับภาพยนตร์เรื่อง Jurassic Park คือใคร,Steven Spielberg,Christopher Nolan,James Cameron,Peter Jackson,4 Choice,1,Entertainment,none,#none
0788,ผู้กำกับภาพยนตร์เรื่อง Joker คือใคร,Todd Phillips,Quentin Tarantino,Steven Spielberg,Christopher Nolan,4 Choice,2,Entertainment,none,#none
0789,Christopher Nolan ไม่ได้กำกับภาพยนตร์เรื่องใด,Arrival,Oppenheimer,Inception,Interstellar,4 Choice,2,Entertainment,none,#none
0790,ข้อใดไม่ใช่ภาพยนตร์รักโรแมนติก,Inception,Titanic,The Notebook,La La Land,4 Choice,1,Entertainment,none,#none
0791,ข้อใดคือภาพยนตร์รักโรแมนติก,About Time,Dune,In Time,A Quiet Place,4 Choice,1,Entertainment,none,#none
0792,ข้อใดไม่ใช่ภาพยนตร์เกี่ยวกับเวทมนตร์,The Matrix,Harry Potter,The Lord of the Rings,Doctor Strange,4 Choice,1,Entertainment,none,#none
0793,ข้อใดไม่ใช่ภาพยนตร์แฟนตาซี,John Wick,Harry Potter,The Chronicles of Narnia,How to Train Your Dragon,4 Choice,1,Entertainment,none,#none
0794,วงเกิร์ลกรุ๊ปใดมีสมาชิกมากที่สุด,AKB48,Girls' Generation,BLACKPINK,Spice Girls,4 Choice,1,Entertainment,none,#none
0795,Gangnam Style เป็นเพลงของใคร,PSY,BTS,BIGBANG,Rain,4 Choice,1,Entertainment,none,#none
0796,DDU-DU DDU-DU เป็นเพลงของใคร,BLACKPINK,(G)I-DLE,TWICE,Red Velvet,4 Choice,1,Entertainment,none,#none
0797,เพลง My Universe ของ BTS ร่วมกับวงใด,Coldplay,Ed Sheeran,OneRepublic,Maroon 5,4 Choice,2,Entertainment,none,#none
0798,วงเกิร์ลกรุ๊ปใดที่มีเพลงฮิตอย่าง Gee,Girls' Generation,2NE1,BLACKPINK,aespa,4 Choice,2,Entertainment,none,#none
0799,Gong Yoo แสดงละครเรื่องใด,Goblin,Crash Landing on You,Itaewon Class,Vincenzo,4 Choice,2,Entertainment,none,#none
0800,วงบอยแบนด์เกาหลี Seventeen มีสมาชิกกี่คน,13,17,15,11,4 Choice,2,Entertainment,none,#none
0801,ข้อใดคือวงบอยแบนด์ที่มีสมาชิกมากที่สุด,NCT,Backstreet Boys,SUPER JUNIOR,Snow Man,4 Choice,2,Entertainment,none,#none
0802,ศิลปิน K-pop คนแรกที่มียอดวิวเกิน 1 พันล้านบน YouTube คือใคร,PSY,BTS,BIGBANG,EXO,4 Choice,2,Entertainment,none,#none
0803,ข้อใดไม่ใช่เพลงของ Justin Bieber,Shape of You,Love Yourself,Sorry,Baby,4 Choice,1,Entertainment,none,#none
0804,ข้อใดคือเพลงของ Taylor Swift,Shake It Off,Roar,Bad Romance,Hello,4 Choice,1,Entertainment,none,#none
0805,Bruno Mars มีชื่อจริงว่าอะไร,Peter Gene Hernandez,Richard Mars,Louis Mars,John Felipe,4 Choice,2,Entertainment,none,#none
0806,Ed Sheeran ปล่อยซิงเกิลแรกในปีใด,2011,2009,2010,2012,4 Choice,3,Entertainment,none,#none
0807,Netflix ก่อตั้งขึ้นในปีใด,1997,1995,2001,2005,4 Choice,3,Entertainment,General,#none
0808,ภาพยนตร์เรื่องแรกใน Marvel Cinematic Universe คือเรื่องใด,Iron Man,Thor,The Incredible Hulk,Captain America: The First Avenger,4 Choice,2,Entertainment,none,#none
0809,ภาพยนตร์เรื่อง La La Land เมืองหลักที่เป็นฉากของเรื่องคือเมืองใด,Los Angeles,New York,London,Paris,4 Choice,2,Entertainment,none,#New York
0810,ภาพยนตร์เรื่อง Crazy Rich Asians มีฉากหลักอยู่ในประเทศใด,Singapore,China,Japan,Hong Kong,4 Choice,2,Entertainment,none,#none
0811,ภาพยนตร์สยองขวัญเรื่องใดที่ทำรายได้สูงสุด,IT,The Conjuring,The Nun,World War Z,4 Choice,2,Entertainment,none,#none
0812,ภาพยนตร์แอนิเมชันเรื่องใดที่ทำรายได้สูงสุด,Inside Out 2,Frozen II,Frozen,Minions,4 Choice,2,Entertainment,none,#none
0813,Ryan Gosling ไม่ได้แสดงภาพยนตร์เรื่องใด,The Departed,La La Land,Drive,Barbie,4 Choice,2,Entertainment,none,#none
0814,Angelina Jolie ไม่ได้แสดงภาพยนตร์เรื่องใด,The Hunger Games,Eternals,Maleficent,Mr. & Mrs. Smith,4 Choice,2,Entertainment,none,#none
0815,Natalie Portman แสดงภาพยนตร์เรื่องใด,Black Swan,The Hunger Games,Kill Bill,The Devil Wears Prada,4 Choice,2,Entertainment,none,#none
0816,Anne Hathaway แสดงภาพยนตร์เรื่องใด,The Dark Knight Rises,Gravity ,Mean Girls,Gone Girl,4 Choice,2,Entertainment,none,#none
0817,Tom Hanks ไม่ได้แสดงภาพยนตร์เรื่องใด,The Shawshank Redemption,Forrest Gump,Cast Away,A Man Called Otto,4 Choice,2,Entertainment,none,#none
0818,ใครคือนักแสดงนำหญิงในเรื่อง Notting Hill,Julia Roberts,Kate Winslet,Sandra Bullock,Angelina Jolie,4 Choice,2,Entertainment,none,#none
0819,Lady Gaga แสดงในภาพยนตร์เรื่องใด,A Star Is Born,Bohemian Rhapsody,La La Land,The Blind Side,4 Choice,2,Entertainment,none,#none
0820,Last Christmas เป็นเพลงของใคร,Wham!,Mariah Carey,Ariana Grande,Whigfield,4 Choice,2,Entertainment,none,#none
0821,ข้อใดคือเพลงคริสต์มาสที่ถูกสตรีมมากที่สุดใน Spotify,All I Want for Christmas Is You,Last Christmas,Santa Tell Me,Jingle Bell Rock,4 Choice,2,Entertainment,none,#none
0822,นักแสดงชายคนใดที่รับบทเป็นตัวละครหลักในซีรีส์เรื่อง Squid Game,Lee Jung-jae,Lee Byung-hun,Gong Yoo,Song Joong-ki,4 Choice,3,Entertainment,none,#none
0823,นักแสดงคนใดเคยได้รับรางวัลออสการ์สาขานักแสดงนำชายยอดเยี่ยม,Leonardo DiCaprio,Johnny Depp,Tom Cruise,Harrison Ford,4 Choice,2,Entertainment,none,#none
0824,นักแสดงคนใดเคยได้รับรางวัลออสการ์สาขานักแสดงนำหญิงยอดเยี่ยม,Emma Stone,Annette Bening,Amy Adams,Glenn Close,4 Choice,2,Entertainment,none,#none
0825,นักร้องหญิงคนใดได้รับรางวัล Grammy Awards มากที่สุด,Beyonce,Madonna,Taylor Swift,Lady Gaga,4 Choice,3,Entertainment,none,#none
0826,นักร้องชายคนใดได้รับรางวัล Grammy Awards มากที่สุด,Stevie Wonder,Michael Jackson,Paul McCartney,Jay-Z,4 Choice,3,Entertainment,none,#none
0827,ศิลปินหญิงคนใดที่มีซิงเกิลอันดับ 1 ในชาร์ต Billboard Hot 100 มากที่สุด,Mariah Carey,Madonna,Rihanna,Taylor Swift,4 Choice,3,Entertainment,none,#none
0828,ศิลปินชายคนใดมีเพลงขึ้นอันดับ 1 ในชาร์ตเพลงของอังกฤษมากที่สุด,Elvis Presley,Robbie Williams,Cliff Richard,The Beatles,4 Choice,3,Entertainment,none,#London
0829,ศิลปินหญิงคนใดที่มีเพลงอันดับ 1 ในชาร์ตเพลงของอังกฤษมากที่สุด,Madonna,Adele,Katy Perry,Rihanna,4 Choice,3,Entertainment,none,#London
0830,Michael Jackson ไม่เคยมีผลงานเพลงร่วมกับใคร,Madonna,Freddie Mercury,Heavy D,Paul McCartney,4 Choice,3,Entertainment,none,#none
0831,ข้อใดคือภาพยนตร์สยองขวัญเรื่องแรกที่ได้รับการเสนอชื่อเข้าชิงรางวัลออสการ์ สาขาภาพยนตร์ยอดเยี่ยม,The Exorcist,Jaws,Psycho,The Sixth Sense,4 Choice,3,Entertainment,none,#none
0832,"ข้อใดเป็นภาพยนตร์เรื่องแรกที่ทำรายได้ทะลุ 2,000 ล้านดอลลาร์สหรัฐทั่วโลก",Avatar,Titanic,Avengers: Endgame,Jurassic World,4 Choice,3,Entertainment,none,#none
0833,ภาพยนตร์เรื่องใดได้รับรางวัลออสการ์สาขาภาพยนตร์ยอดเยี่ยม,CODA,Avatar,The Wolf of Wall Street,La La Land,4 Choice,2,Entertainment,none,#none
0834,ภาพยนตร์เรื่องใดที่ทำรายได้สูงสุดในหมวดหนังซอมบี้,World War Z,Zombieland,Resident Evil,Train to Busan,4 Choice,3,Entertainment,none,#none
0835,ภาพยนต์เรื่อง Harry Potter ภาคแรก ออกฉายในปีใด,2001,,,,Number Guessing,3,Entertainment,none,#none
